,femaleASspeech,maleASspeech,femaleASsing,maleASsing,femaleMC,maleMC,femaleLM,maleLM
313,X1TPltmVHA8,lp4YKMKIsXU,0Hm6UX07NLI,5kCo4OTSBoM,xKEJ6fVhb8w,8oUI02eK3SM,Woman00419.wav,Man00547.wav
314,DHapCRPNc1M,4y-H6dj1iik,64Xl4L3gW7I,3r1qmT6qMVU,hrOP9swUpyA,Ou7vteWmqfw,Woman00806.wav,Man00601.wav
315,K5Naw5I1EOU,1Ny2V_DJIrQ,6Gb9KN9TijE,4mF1zVzXn4Q,zjsWFvUkh7M,DroAzooK4yw,Woman00829.wav,Man00732.wav
316,Eq7-nMtZi4c,2gFHlbc_TEc,7fym_zy_9lE,5a8cHgsxSTc,5JqTvKNXzOw,V9EFYFKlYbE,Woman00354.wav,Man00464.wav
317,UBiUQ2EboVA,-yZuFZRojYA,-c9Zvioes5Q,54b87mukVuc,FsnRM2irjvI,1IMi7yfZVVM,Woman00600.wav,Man00469.wav
318,devxJnbIcSk,8KOxELcGG1U,1ULLBM_tNe8,-bCWLZj3MUk,5JQIsqc8HBc,T0tyLNN7SKA,Woman00967.wav,Man00238.wav
319,q5PbYTi-hWU,nmoD5ahXNjQ,2u2wxAgr2Lw,0dsoWAvTtck,qET3h3w35EA,rkapTdi8NTQ,Woman00596.wav,Man01035.wav
320,lgbVGZNFIao,7Qju_b_eBBc,0viyuhhhx2Q,2ROtd5X1wc8,nbIwdOQ7D8A,rizanOQM61k,Woman00439.wav,Man00769.wav
321,atLSatDog_c,EC7fbhdAetk,2gDwbxnjCvI,61XDwUTGHHs,1PKxdTlquCA,WPguqXCBQCI,Woman00611.wav,Man00222.wav
322,q59X3RAWN88,n4Gw35E-P5I,6rFJrQrdc7o,2ket9bKEib4,fpVlYpgTKZI,IN71kMOAk_k,Woman00606.wav,Man00085.wav
323,MhtIfwhfWyw,QTUCc92yLqs,3ObunLsm_qc,s8aGrWPFoeM,2f7NnTVQzR0,0TV9zvfwFhs,Woman00735.wav,Man00158.wav
324,AeE9nLpDjiw,iaQtE2kwxUQ,1bjSdMp7Hts,1geDUsTE_f8,r7Ve8ExE8YY,ZiHlhUvmgzQ,Woman00855.wav,Man00312.wav
325,E9X2gELUbsM,2knHJbYz_CY,0PMFpxCOwwY,71KDqlqYidY,W_zgEkvp4xU,6AC84nr6ckM,Woman01026.wav,Man00680.wav
326,WCRVy5Ewivs,VrxeXAq8IWk,6LCzh2ehVwU,42VM9S9JSc4,_yRFCl-z-EE,2GepmcbNlJY,Woman00234.wav,Man00338.wav
327,OhgHggnmTAg,6LKWYKYvZZw,5i4bAFflMhY,-6tCDtZtm3A,zOvFaef41iw,K55v5p5DEPE,Woman00372.wav,Man00684.wav
328,4dU_sVfN8fI,X3r5_j05IHM,3D5kTLKof4w,3U24eJBRsY4,tnDUwvxQU3k,VpikuLP_9qQ,Woman00871.wav,Man00354.wav
329,5FIu-zWMoQM,AXETqkxGRD0,4TBLId9v70Y,69OD6BQfrWw,AY_yCk4eTTI,5ZpVhmhVYoI,Woman00218.wav,Man00729.wav
330,wKeJ6Qc28U8,7O-CdP3T5dA,70gR18plsnw,701WmNmXHIE,j0UMI2DrnMA,rrWQd5SZK74,Woman00082.wav,Man00520.wav
331,qKDG4gY6wUo,Tc25Rx3RaX4,5Tp3Uxp3Cyk,4Wdc7FAJh70,9Ijpv6e57a4,r8B3-yBc-4U,Woman00151.wav,Man00142.wav
332,ZfUgSFQ35bU,aiGnSZ5shP4,-BjORVxy9z8,2TgM00XU0kA,bg_QoesbfOA,l21xSYRR_Xc,Woman00312.wav,Man00567.wav
333,JcrOB6x02-g,l49u5m-8ryA,Z7QH4dsa6NE,09MruHhYjNw,bxF2vxTzlvo,LAHWV6fZwUk,Woman00477.wav,Man00321.wav
334,u_T-kFpt6TM,4Bt0wjj1YKU,9af9bmrdwfI,17-MsU1VE6A,xWmcax3aX5U,lAMiOhScSPg,Woman00730.wav,Man00779.wav
335,ORuji9EBFKs,3wGeoBQvN_I,6ipBxF18dDk,04Ezg1wYqpA,KrK8Giu9ZUc,Es9FNjZ-SHI,Woman00528.wav,Man00512.wav
336,0iTtD8RHj_E,f8fWTk_m3gA,2m9P8bs3LhI,-WrlvK3o5Hs,OLy3C8YpMsY,XhV4zf-Xlmk,Woman00362.wav,Man00002.wav
337,pSI9MJnUwSc,AWV2phRShI8,AabebhS8sp8,-iGxJS0xVYg,sytdnmy0sRs,ctJI7pCbxAo,Woman00898.wav,Man00326.wav
338,qv4ec2URjHk,3xhCFqDR6-s,ec_9xqUBf2k,0w2jH1xK6pc,Kt2MwCHV3Ko,0QAaln-hjPw,Woman00817.wav,Man00731.wav
339,T3yoPyJsLa8,BFjfVLgZJ7c,-SLsSZcN8rQ,32WtQ4fP6s8,B9K58KYq-Cs,CxgVq6eovRU,Woman00136.wav,Man00564.wav
340,5XsQ8_iDSZk,AFrcKKTP-L0,1umwjMwdK34,MEzwklxtBac,wBozBh7BR6k,AHmcuClSTL4,Woman00572.wav,Man00825.wav
341,DxJrLrqJ2nw,XDJiCOUNt6s,3ho7ChvjNeM,6sy6bbu1TxM,7chwYGGSkmE,VAqPLAgn9NI,Woman00321.wav,Man00549.wav
342,oBDe-oWqhDQ,9-Ulck1Lzr8,1h6BZm5fE_0,2tYb7VK0DTY,SMjYheNdAzg,oh0EWEvJI90,Woman00631.wav,Man00765.wav
343,bI1mzAh8WM8,i8DVNa0mCtk,1YhSHkaAbRo,51YajY6Cnpw,W_MZo88gzrA,FEuXIeWoCQQ,Woman00466.wav,Man00868.wav
344,U0PCyv0HH4U,3w6wBXnUiPo,2AtclfQOjk8,6nn1tqKlKfs,N0q5vPAsHLI,V5xL8hLFY58,Woman00002.wav,Man00182.wav
345,nZ_mwOkMsFY,SJbbG4MbNBc,XUpci210aho,2ULx_KULB8o,YxQzJweGS2c,HzXWXYxXyYA,Woman00326.wav,Man00133.wav
346,-iTRb9ze7W0,e3UUAHpGENc,7NdJkIhHl9s,29us_e4ffYM,gDzi8N3BYMw,AJeRSlZuZbk,Woman00734.wav,Man01015.wav
347,qTOuEbl5H08,2hEy39Y7soc,aAWxNLsePGo,0gc8j4BQShA,Occ4uW0lw0k,40kbMyL2Wgo,Woman00569.wav,Man00434.wav
348,wW_8VGOyNmM,4TyXZL3uQkI,0wte7RWbNFw,01RCkAuolVk,UiiYMspxfhU,mWuX--EEq2E,Woman00598.wav,Man00830.wav
349,gqD2Uzha-Q8,xFLXKD-32sA,-xhIITrBwXI,44OjFlIEL78,WE0JqjuhaQI,b8okzVltB5Q,Woman00553.wav,Man00934.wav
350,sVvukO981x0,zyL-xlYDhXg,4yz7I2EF-qw,1MTbLb2yuhM,XscK8V4Veac,ikEuQPSBY-0,Woman00504.wav,Man00098.wav
351,O9iJec-VXTc,2tbF-82KOoo,3H-9jtK3ugc,1GrRbMhrE4k,1h2sb2xeCt8,pwX5SArqGKU,Woman00695.wav,Man00972.wav
352,Mw9Q_TbF4iQ,7dHeosj2NWU,LcdDudJ6Pbg,-2SkvmLIFXw,VP1cB_AVu6c,l1coM570kVw,Woman00175.wav,Man00191.wav
353,k9f8awQYT9U,BkaeluS-riY,3Dn26LHTibI,-XqHf6f2QC4,MVYSWTF11Nc,SHYGoXwgKtk,Woman00128.wav,Man00284.wav
354,FtsRcPmBNtY,67Lmh0O7psc,2RothUUm6dQ,2v6EfMQyvxE,Wp5AiCmbQjA,ppAT0f2YCyM,Woman00845.wav,Man00926.wav
355,sl9eomcikts,Q7mCuYJoOMI,3GX-gcwIKhA,4goRNHD8oo0,e57SBRbMXbI,J2BDMndrvhA,Woman00443.wav,Man00073.wav
356,Qv6REjx_iAI,3helsczqbo4,16-bo0-11sg,-aZe1u5vYXQ,0VwX92X3iPc,p2jnUySmuvA,Woman00574.wav,Man00301.wav
357,IicbSs7Hoe4,n_YXUxxu0kk,5N_fUPZaKEI,oBbpKSCslCY,hHS5C0RKa8A,7lG2zPKo9e4,Woman00936.wav,Man00140.wav
358,AW1seBzKebo,Pkx-11Dphwg,-rRdrWMFP2E,-zfEaVVa8gs,1a_nvi4sW64,FTdcanPJw6E,Woman00093.wav,Man00310.wav
359,CQ_C6C-Loa8,n6SNknXOtws,5lyH2D4YQPs,ClVR08C8Ly4,C3o8pEsAu5U,bNW18IztiZY,Woman00972.wav,Man00957.wav
360,ZvLi9CpgSnY,E3YoUEaY1p4,-MX_XC9dfeA,263Pd1CZvqA,OnL-e9X0oEc,jWTm17KZGI8,Woman00185.wav,Man00336.wav
361,3cTN5PzxLBw,8_vu-rzEDPM,1R0kGArzgU8,51gibTXw4Vk,dDKUjMHerLs,ET7yQfaiF_8,Woman00283.wav,Man00154.wav
362,ixNZy4Edx9g,7o3DOB3p00U,5MmUYIMcYvg,6yRycsDDnOw,XWj7nP7kfdQ,XOsHEjo-RSg,Woman00927.wav,Man00510.wav
363,PzrC_c57ZmA,wXKLBn72oPk,Lx45PjndDXY,3W5JvwRTD-Y,yPou7kokTgA,A4jSRfZ6yd0,Woman00071.wav,Man00693.wav
364,69bE-7APERA,0syDO5o4VYw,3KrDVp5K4sE,4ySY4mDFNoc,0a91szM1Ivw,1Rd1w7Ty1ak,Woman00300.wav,Man00975.wav
365,e_Ago0IPsqk,mktlU9vM-B8,5TxUKSXW85I,0WFC6EQAHZ0,eWGGj4duzIo,DlU56FGTVEk,Woman00134.wav,Man00144.wav
366,-V6lKFFF1-s,MmEHrGOCl2M,16kmcLcAUfc,xVnod_9Sxhw,Cn3xoxvbkF0,X0MN34Us6eE,Woman00310.wav,Man00802.wav
367,DM8kUkfLdUw,626ZAxjH5Gw,-TV4WW8ElzY,4YTuQIjYxuw,RBniJk6GKK0,etmmUjsRNRs,Woman00448.wav,Man00174.wav
368,ku9CTIwP1gk,2tnfiLIfRD8,0qphpfTp7m8,1Q3gvMdUctQ,M7GSBDc6s_w,y6iMm7Pltq0,Woman00336.wav,Man00030.wav
369,KScMxjWPQQQ,-4AfcOtCe3Y,51KsGDLY0OI,1tdWm6p2Tkk,5D4siJjh1j0,d-KxsdWX9xE,Woman00147.wav,Man00986.wav
370,ErUWPikSh3w,ruZ4Qfrsxa4,1VhyVghoknQ,6hC2AX5bRng,QXe9BpTENCc,31DNFoW3NAw,Woman01035.wav,Man00203.wav
371,TbbzR3TudCg,_o5bDcz7zYw,1arueY7HHYc,0er7gG1g_hg,3TO4C7SiC7I,sXwa1Akj1t0,Woman00605.wav,Man00987.wav
372,BjXzieu_Jwk,-z9ygqjhcOk,0aJi8s1SJRY,12FXhmsVIj0,ySY5J3TDgag,cf-IIqhveKw,Woman00667.wav,Man00658.wav
373,0mxcPwCLUb0,EgyMRekqeKk,1FVE3kKQdsQ,-t9dljJIZRE,OA63sRxGk6o,e4abjaPD9R0,Woman00138.wav,Man00179.wav
374,kq92FObF6Ho,WnZs7cjG9DY,-SzHl701e_s,4wVa-EorsZA,1Ziku4FLka4,fJ6ZeWYfLjA,Woman00698.wav,Man01011.wav
375,1SxT5rxKwss,0BR4cN_TRU4,15JCYdV7y5A,2UqliPIhfxc,DVuWm53IlVw,3sRO6iwfUxo,Woman00167.wav,Man00150.wav
376,5C_JhwepMIM,1srDsQWuGrw,1sZcEtF_n5o,48ks2izEQho,G2uCAwYS6w0,-0vPFx-wRRI,Woman00030.wav,Man00183.wav
377,TV6sViX7Q2M,748XZTRUYDY,0agPxolrDWk,3QM-pDcG_PE,DA8lw6Mq0DY,nBiHncFD0dM,Woman00591.wav,Man00008.wav
378,Lo64VHYV3IQ,dRJwBE6fAe8,I9GAhH0X9M4,3DzeVCxAj_c,UVY68vFiApA,z_fEIZOv0JY,Woman00197.wav,Man00919.wav
379,Xg3bzsrOGnQ,ePIh4W33iSY,0tHTLkNVXTk,27wrJeQKAeA,bVc7-sZAi6s,6XHdybfV5Cw,Woman00602.wav,Man00494.wav
380,3Ll77LzB7q4,W3RTmT-o50I,09hhBeQ2lO8,-kugydvSt5Q,LbQ4zHxhoSI,DU3Vlaa8rU0,Woman00976.wav,Man00078.wav
381,MyZRlSUYbMk,5oMjbcjxQsQ,1MaPUR96fBg,2-BhUO332ns,CretxKgW4Jk,51bsCRv6kI0,Woman00172.wav,Man00706.wav
382,uVbpREJPp34,KWa5lKQAeCk,3x62CurGYUI,53hvd7vUThQ,FxeA9blzUD8,NeSIT6sqLRA,Woman00515.wav,Man00597.wav
383,U6kXTbXZ0Oo,svq7802-vts,7FiI2SlAcsw,4lPkgmg5lFQ,1hWAOReJehw,f1UMPPWbCrU,Woman00143.wav,Man00248.wav
384,UJsKS3-6vzk,K60WVuoKQ44,4VIwosnFpZ8,4WZXX1QS66s,zYUZEXCE7gw,doX8FjlNPf8,Woman00176.wav,Man00155.wav
385,s-jNMm7FEU0,9Rqu-Njigxk,2k8x2JK86Hk,PwlgtDcScdo,Nymjfq2kXnI,79tuMIiWMZ4,Woman00008.wav,Man00821.wav
386,-2WeKymlTLU,6iZ3QhEKRTw,4jcciLK2l1I,0U3qRpXqMzA,dbldb9tq8ng,Xn0wIqnt_44,Woman00668.wav,Man00244.wav
387,RE-bSKeJ3q0,OeNyJdGuGLg,3eaoWA6uG9U,1HAPGhieaPo,HCCGZh-TxK0,xqjpWi83CWM,Woman01012.wav,Man00230.wav
388,sXu-s3tmB_4,4M_rwyinBs8,5z7kgC7eTcI,-svquUt9T6M,QrJVAHIkpCo,vByuZEzCZJg,Woman00076.wav,Man00491.wav
389,6DCjY3ELFeE,Lq3mDMI_TSE,0tXCv1wgHo4,ppn60593coA,Cchf2QH63bI,6k4lcF9IGUk,Woman00710.wav,Man00737.wav
390,uZT1VTQkx44,B08S45wRi2w,6EavkdiocOM,E7qM_E1cgZM,PE1ges9nn6A,D3ht_xXl5S0,Woman00521.wav,Man00141.wav
391,04e9N_422v0,tGI2BGjWK-g,3G1_UlWB51g,4NyeGoymaTQ,pELIBvAnbkY,WT_wvvEvkw4,Woman00245.wav,Man01027.wav
392,CQxf6-0eBjk,6uoo1laD1gU,3qya1PIqNbk,-GPRFFWec8g,aJHv6TV7JpY,2RU4CSDzS-g,Woman00148.wav,Man01010.wav
393,GMWsOaCfRUo,4c3AEO5W6z8,-QT_-5npp0s,4eS-PGD1tAo,PuJxL6tLxm4,B1vY7kxQ9Xg,Woman00821.wav,Man00195.wav
394,7KSg3_5pD8o,qX1CloFPAHk,7hJLWMZOrEs,-tmH2PBmQ-o,C-7ubPOCeJk,56Cm1AkbfbU,Woman00241.wav,Man00045.wav
395,7yLeHONNwQ0,MVKSgPbWrKo,5DN3Yk3Xeq4,6C_qQbXthlo,vo7BYs1OqbM,JxwRvkjNJQ0,Woman00226.wav,Man00631.wav
396,0eRpD0tsUJc,7KZAy2aiRqY,36SxFcRlwvU,6_29driCMCQ,Qf87MJcWZQI,-M-6VinyMiY,Woman00732.wav,Man00116.wav
397,-4FlKZIo8B4,qUnsatMWqJY,5kqdoUvHahA,-ZSI35qhuKA,KPymcVenomk,-8cgbhIR_pw,Woman00685.wav,Man00608.wav
398,BL115VrUOFQ,7gXn_E1AQPI,-KPgVOjcXEc,7KXZMnDR0z0,55qucu8Zs_I,jdEbwMS9xqo,Woman00135.wav,Man00060.wav
399,havZGMiImpg,4JJoK9h3b3c,-EOj-mye5Sk,-OicapfdT0I,5n8I-br2n1U,5AdeNHlPnvs,Woman01027.wav,Man00419.wav
400,bXm4XUPoqis,2gj5q8sDomU,1DnouE4rLXc,0WhfAk1L8pQ,TiDdR-6bIcY,3FJFcgaa0oE,Woman00433.wav,Man00456.wav
